     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.220    0.435    0.435    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   80.971    8.258   44.245   91.742  100.000  132.616   48.227   35.614   39.456   44.882    0.005   -0.344
    1.000    0.568    0.435    0.437    0.297    1.832   -0.009   -1.525    0.000    0.000   -1.000    0.541   -1.614    5.369    0.082   -0.483   -0.000    0.082    0.568    0.082    0.258    0.457    0.000    0.489
    2.000    1.055    0.435    0.438    0.552    3.528   -0.037   -2.938    0.001    0.001   -2.000    1.126   -3.080   10.580    0.092   -0.952    0.000    0.092    1.055    0.092    0.479    0.848    0.000    0.438
    3.000    1.504    0.435    0.439    0.788    5.228   -0.084   -4.356    0.002    0.002   -3.000    1.767   -4.525   16.049    0.038   -1.445   -0.000    0.038    1.504    0.038    0.682    1.209    0.001    0.388
    4.000    1.949    0.435    0.440    1.005    6.933   -0.149   -5.778    0.001    0.001   -4.000    2.464   -5.948   21.788   -0.113   -2.022   -0.056   -0.113    1.949   -0.113    0.882    1.566    0.001    0.339
    5.000    2.351    0.435    0.441    1.227    8.785   -0.232   -7.325    0.003    0.003   -5.000    3.233   -7.466   28.327   -0.259   -2.550    0.000   -0.259    2.351   -0.259    1.063    1.888    0.001    0.289
    6.000    2.695    0.435    0.442    1.407   10.499   -0.334   -8.759    0.005    0.005   -6.000    4.094   -8.846   34.673   -0.510   -3.121   -0.000   -0.510    2.695   -0.510    1.218    2.163    0.002    0.240
    7.000    3.009    0.435    0.442    1.567   12.218   -0.453  -10.198    0.003    0.003   -7.000    5.033  -10.205   41.334   -0.823   -3.721   -0.000   -0.823    3.009   -0.823    1.359    2.415    0.002    0.192
    8.000    3.287    0.435    0.443    1.709   13.940   -0.589  -11.642    0.005    0.005   -8.000    5.918  -11.544   48.324   -1.205   -4.350    0.000   -1.205    3.287   -1.205    1.483    2.638    0.002    0.145
    9.000    3.561    0.435    0.443    1.833   15.667   -0.741  -13.094    0.001    0.001   -9.000    6.697  -12.863   55.659   -1.675   -5.055   -0.042   -1.675    3.561   -1.675    1.605    2.856    0.000    0.098
   10.000    3.810    0.435    0.444    1.961   17.545   -0.909  -14.675    0.003    0.003  -10.000    7.504  -14.270   64.016   -2.171   -5.762   -0.000   -2.171    3.810   -2.171    1.717    3.056    0.001    0.051
   11.000    3.990    0.435    0.444    2.048   19.281   -1.090  -16.143    0.009    0.009  -11.000    8.285  -15.549   72.128   -2.762   -6.492   -0.000   -2.762    3.990   -2.762    1.797    3.199    0.004    0.004
   12.000    4.147    0.435    0.445    2.117   21.023   -1.285  -17.621    0.010    0.010  -12.000    9.090  -16.809   80.640   -3.413   -7.259   -0.000   -3.413    4.147   -3.413    1.867    3.324    0.004   -0.041
   13.000    4.285    0.435    0.445    2.168   22.769   -1.491  -19.110    0.003    0.003  -13.000    9.924  -18.050   89.574   -4.123   -8.063   -0.000   -4.123    4.285   -4.123    1.928    3.435    0.001   -0.085
   14.000    4.388    0.435    0.445    2.202   24.520   -1.705  -20.613    0.005    0.005  -14.000   10.789  -19.272   98.949   -4.909   -8.907   -0.000   -4.909    4.388   -4.909    1.974    3.517    0.002   -0.129
   15.000    4.454    0.435    0.445    2.220   26.278   -1.924  -22.133    0.017    0.017  -15.000   11.602  -20.477  108.789   -5.775   -9.792   -0.000   -5.775    4.454   -5.775    2.003    3.569    0.007   -0.173
   16.000    3.334    0.435    0.441    1.280   27.920   -2.093  -24.546    0.003    0.003  -16.000   12.946  -23.195  119.042   -7.738  -10.715   -0.000   -7.738    3.334   -7.738    1.504    2.675    0.001   -0.244
   17.000    1.747    0.435    0.436    0.022   29.375   -2.203  -27.151    0.007    0.007  -17.000   14.553  -26.267  128.866  -10.055  -11.599   -0.000  -10.055    1.747  -10.055    0.791    1.404    0.003   -0.322
   18.000    0.199    0.435    0.430   -1.207   30.800   -2.249  -29.758    0.004    0.004  -18.000   16.179  -29.218  138.897  -12.328  -12.502   -0.000  -12.328    0.199  -12.328    0.090    0.160    0.001   -0.395
   19.000   -1.453    0.435    0.425   -2.477   32.102   -2.192  -32.387    0.012    0.012  -19.000   17.773  -32.090  148.516  -14.627  -13.368   -0.000  -14.627   -1.453  -14.627   -0.664   -1.172    0.005   -0.465
   20.000   -3.047    0.435    0.419   -3.723   33.496   -1.980  -35.239    0.018    0.018  -20.000   18.282  -34.931  159.045  -16.927  -14.316   -0.000  -16.927   -3.047  -16.927   -1.399   -2.460    0.007   -0.533
   17.015    1.689    0.435    0.435   -0.002   29.345   -2.203  -27.144    0.018    0.018  -17.015   14.630  -26.279  128.691  -10.090  -11.584    0.000  -10.090    1.689  -10.090    0.765    1.357    0.007   -0.323
