     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.229    0.452    0.452    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   86.304    6.306   44.019   83.849   90.155  131.089   52.498   32.508   40.791   48.298    0.001   -0.220
    1.000    0.397    0.452    0.453    0.356    1.880   -0.008   -1.515    0.001   -0.418   -1.000    0.358   -1.455    5.088    0.457    0.060    0.412    0.457    0.397    0.277    0.173    0.323    0.000    0.996
    2.000    0.681    0.452    0.455    0.641    3.672   -0.033   -2.998    0.002   -0.831   -2.000    0.747   -2.859   10.165    0.802    0.121    0.823    0.802    0.681    0.438    0.296    0.553    0.001    0.942
    3.000    0.865    0.452    0.456    0.865    5.381   -0.074   -4.442    0.001   -1.240   -3.000    1.157   -4.208   15.219    1.049    0.182    1.234    1.049    0.865    0.498    0.376    0.703    0.001    0.888
    4.000    0.936    0.452    0.456    1.019    7.156   -0.132   -6.005    0.001   -1.648   -4.000    1.600   -5.662   20.706    1.189    0.251    1.681    1.189    0.936    0.432    0.407    0.761    0.000    0.837
    5.000    0.880    0.452    0.457    1.095    8.820   -0.206   -7.519    0.005   -2.051   -5.000    2.090   -7.052   26.084    1.203    0.319    2.121    1.203    0.880    0.239    0.382    0.716    0.002    0.782
    6.000    0.705    0.452    0.457    1.093   10.652   -0.295   -9.264    0.004   -2.451   -6.000    2.612   -8.638   32.286    1.107    0.399    2.629    1.107    0.705   -0.094    0.306    0.573    0.002    0.728
    7.000    0.449    0.452    0.457    1.045   12.249   -0.400  -10.804    0.005   -2.853   -7.000    3.168  -10.020   37.938    0.927    0.475    3.095    0.927    0.449   -0.498    0.195    0.365    0.002    0.675
    8.000    0.035    0.452    0.456    0.892   13.979   -0.520  -12.567    0.006   -3.248   -8.000    3.794  -11.588   44.350    0.597    0.562    3.625    0.597    0.035   -1.080    0.015    0.028    0.003    0.621
    9.000   -0.435    0.452    0.455    0.709   15.484   -0.654  -14.120    0.005   -3.656   -9.000    4.449  -12.953   50.179    0.208    0.646    4.110    0.208   -0.435   -1.708   -0.189   -0.354    0.002    0.570
   10.000   -1.096    0.452    0.454    0.399   17.086   -0.801  -15.886    0.011   -4.047  -10.000    5.202  -14.490   56.677   -0.364    0.740    4.652   -0.364   -1.096   -2.543   -0.478   -0.892    0.005    0.516
   11.000   -1.814    0.452    0.452    0.045   18.607   -0.961  -17.602    0.001   -4.435  -11.000    5.994  -15.963   63.127   -0.992    0.837    5.194   -0.992   -1.814   -3.437   -0.794   -1.478    0.000    0.464
   12.000   -2.638    0.452    0.450   -0.366   20.043   -1.131  -19.279    0.004   -4.837  -12.000    6.878  -17.389   69.494   -1.725    0.938    5.733   -1.725   -2.638   -4.438   -1.157   -2.151    0.002    0.412
   13.000   -3.682    0.452    0.448   -0.933   21.582   -1.308  -21.207    0.014   -5.217  -13.000    7.709  -19.018   76.650   -2.668    1.053    6.341   -2.668   -3.682   -5.680   -1.620   -3.006    0.006    0.358
   14.000   -4.751    0.452    0.445   -1.512   22.914   -1.495  -22.932    0.018   -5.617  -14.000    8.311  -20.450   83.139   -3.641    1.165    6.899   -3.641   -4.751   -6.933   -2.097   -3.882    0.008    0.307
   15.000   -5.934    0.452    0.442   -2.178   24.274   -1.686  -24.766    0.014   -6.002  -15.000    8.930  -21.960   90.054   -4.722    1.289    7.497   -4.722   -5.934   -8.313   -2.628   -4.855    0.006    0.256
   16.000   -7.279    0.452    0.438   -2.962   25.690   -1.880  -26.772    0.012   -6.378  -16.000    9.582  -23.587   97.599   -5.956    1.427    8.154   -5.956   -7.279   -9.870   -3.237   -5.962    0.005    0.203
   17.000   -8.718    0.452    0.435   -3.799   26.833   -2.073  -28.559    0.029   -6.766  -17.000   10.194  -25.018  104.047   -7.295    1.559    8.727   -7.295   -8.718  -11.498   -3.893   -7.151    0.012    0.153
   18.000  -10.169    0.452    0.431   -4.660   27.989   -2.268  -30.382    0.020   -7.146  -18.000   10.886  -26.459  110.808   -8.642    1.700    9.332   -8.642  -10.169  -13.148   -4.562   -8.354    0.008    0.103
   19.000  -11.704    0.452    0.427   -5.590   29.084   -2.460  -32.214    0.003   -7.540  -19.000   11.437  -27.892  117.507  -10.071    1.849    9.939  -10.071  -11.704  -14.881   -5.275   -9.629    0.001    0.055
   20.000  -13.400    0.452    0.422   -6.638   30.112   -2.641  -34.108    0.001   -7.925  -20.000   12.136  -29.354  124.137  -11.661    2.008   10.550  -11.661  -13.400  -16.777   -6.071  -11.044    0.000    0.006
   11.123   -1.935    0.452    0.452   -0.018   18.840   -0.981  -17.877    0.006   -4.486  -11.123    6.101  -16.202   64.139   -1.099    0.852    5.279   -1.099   -1.935   -3.585   -0.847   -1.577    0.003    0.458
