     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.176    0.337    0.337    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   75.808    4.847   27.207   67.121   71.969   81.023   40.534   19.888   36.447   39.135    0.002   -0.011
    1.000    0.469    0.337    0.338    0.459    2.048   -0.008   -1.581    0.000   -0.441   -1.000    0.460   -1.525    5.552    0.648    0.178    0.540    0.648    0.469    0.415    0.204    0.381    0.000    0.618
    2.000    0.826    0.337    0.339    0.848    3.946   -0.033   -3.065    0.001   -0.879   -2.000    0.966   -2.942   10.950    1.185    0.356    1.070    1.185    0.826    0.718    0.359    0.671    0.000    0.570
    3.000    1.056    0.337    0.341    1.162    5.914   -0.074   -4.678    0.002   -1.311   -3.000    1.511   -4.456   16.819    1.613    0.551    1.647    1.613    1.056    0.890    0.458    0.858    0.001    0.520
    4.000    1.201    0.337    0.341    1.424    7.726   -0.132   -6.170    0.002   -1.746   -4.000    2.097   -5.841   22.478    1.956    0.746    2.210    1.956    1.201    0.975    0.521    0.976    0.001    0.473
    5.000    1.182    0.337    0.342    1.587    9.792   -0.206   -7.999    0.000   -2.170   -5.000    2.723   -7.515   29.260    2.172    0.978    2.883    2.172    1.182    0.887    0.513    0.961    0.000    0.423
    6.000    1.097    0.337    0.342    1.709   11.471   -0.295   -9.467    0.000   -2.599   -6.000    3.428   -8.837   35.033    2.297    1.187    3.466    2.297    1.097    0.740    0.476    0.891    0.000    0.376
    7.000    0.824    0.337    0.342    1.715   13.281   -0.400  -11.166    0.007   -3.014   -7.000    4.193  -10.355   41.554    2.261    1.425    4.128    2.261    0.824    0.397    0.358    0.670    0.002    0.327
    8.000    0.442    0.337    0.342    1.650   15.100   -0.519  -12.931    0.005   -3.424   -8.000    5.049  -11.905   48.429    2.131    1.682    4.830    2.131    0.442   -0.059    0.192    0.360    0.002    0.277
    9.000   -0.087    0.337    0.342    1.500   16.951   -0.651  -14.799    0.011   -3.841   -9.000    5.982  -13.529   55.778    1.876    1.965    5.590    1.876   -0.087   -0.669   -0.038   -0.071    0.003    0.230
   10.000   -0.612    0.337    0.341    1.350   18.489   -0.797  -16.342    0.004   -4.255  -10.000    6.665  -14.849   62.163    1.599    2.225    6.262    1.599   -0.612   -1.266   -0.267   -0.498    0.001    0.184
   11.000   -1.376    0.337    0.340    1.043   20.229   -0.953  -18.233    0.000   -4.664  -11.000    7.332  -16.446   69.741    1.125    2.536    7.062    1.125   -1.376   -2.114   -0.602   -1.121    0.000    0.137
   12.000   -2.272    0.337    0.339    0.657   21.793   -1.119  -20.017    0.012   -5.066  -12.000    8.019  -17.936   76.901    0.511    2.848    7.835    0.511   -2.272   -3.092   -0.995   -1.852    0.003    0.090
   13.000   -3.145    0.337    0.338    0.282   23.202   -1.294  -21.626    0.003   -5.487  -13.000    8.718  -19.254   83.617   -0.092    3.153    8.572   -0.092   -3.145   -4.043   -1.382   -2.566    0.001    0.046
   14.000   -4.297    0.337    0.336   -0.284   24.639   -1.473  -23.451    0.010   -5.880  -14.000    9.378  -20.741   90.831   -0.953    3.494    9.377   -0.953   -4.297   -5.278   -1.894   -3.510    0.003    0.000
   15.000   -5.585    0.337    0.333   -0.947   25.991   -1.655  -25.282    0.019   -6.259  -15.000   10.060  -22.219   97.950   -1.949    3.851   10.189   -1.949   -5.585   -6.649   -2.471   -4.567    0.005   -0.046
   16.000   -6.739    0.337    0.332   -1.511   27.147   -1.846  -26.813    0.008   -6.662  -16.000   10.751  -23.435  104.255   -2.833    4.189   10.929   -2.833   -6.739   -7.880   -2.992   -5.517    0.002   -0.089
   17.000   -8.276    0.337    0.329   -2.361   28.492   -2.029  -28.824    0.001   -7.039  -17.000   11.474  -25.023  111.974   -4.049    4.608   11.840   -4.049   -8.276   -9.507   -3.691   -6.785    0.000   -0.135
   18.000   -9.761    0.337    0.326   -3.166   29.550   -2.215  -30.502    0.002   -7.436  -18.000   12.053  -26.322  118.356   -5.255    4.994   12.629   -5.255   -9.761  -11.071   -4.373   -8.015    0.000   -0.176
   19.000  -11.197    0.337    0.323   -3.934   30.363   -2.400  -31.897    0.001   -7.849  -19.000   12.786  -27.379  123.501   -6.452    5.343   13.302   -6.452  -11.197  -12.573   -5.038   -9.207    0.000   -0.215
   20.000  -12.790    0.337    0.320   -4.799   30.871   -2.582  -33.088    0.051   -8.249  -20.000   13.412  -28.288  127.072   -7.857    5.656   13.834   -7.857  -12.790  -14.218   -5.784  -10.535    0.013   -0.255
   13.478   -3.620    0.337    0.337    0.065   23.845   -1.380  -22.400    0.002   -5.680  -13.478    9.022  -19.888   86.794   -0.436    3.303    8.927   -0.436   -3.620   -4.555   -1.592   -2.954    0.001    0.025
