     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.250    0.358    0.358    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   78.314    5.102   29.728   74.189   79.292    0.000   40.070   27.379 Infinity Infinity    0.054   -0.410
    1.000    0.188    0.358    0.359    0.156    0.603   -0.001   -0.446   -0.067   -0.401   -1.000    0.000   -0.431    1.617    0.214    0.092    0.190      NaN    0.121    0.161      NaN      NaN    0.053   -0.410
    2.000    0.374    0.358    0.359    0.312    1.364   -0.002   -1.050   -0.136   -0.805   -2.000    0.000   -1.017    3.696    0.435    0.197    0.422      NaN    0.238    0.315      NaN      NaN    0.145   -0.417
    3.000    0.568    0.358    0.360    0.464    1.705   -0.005   -1.236   -0.208   -1.218   -3.000    0.000   -1.201    4.636    0.639    0.279    0.559      NaN    0.359    0.484      NaN      NaN    0.031   -0.424
    4.000    0.756    0.358    0.360    0.618    2.465   -0.008   -1.839   -0.282   -1.631   -4.000    0.000   -1.781    6.768    0.862    0.388    0.799      NaN    0.472    0.638      NaN      NaN    0.034   -0.424
    5.000    0.944    0.358    0.361    0.766    2.927   -0.012   -2.149   -0.357   -2.045   -5.000    0.000   -2.078    8.080    1.068    0.480    0.969      NaN    0.585    0.799      NaN      NaN    0.184   -0.431
    6.000    1.134    0.358    0.362    0.917    3.616   -0.018   -2.681   -0.437   -2.463   -6.000    0.000   -2.591   10.065    1.290    0.592    1.201      NaN    0.694    0.955      NaN      NaN    0.073   -0.438
    7.000    1.321    0.358    0.362    1.066    4.386   -0.024   -3.295   -0.519   -2.892   -7.000    0.000   -3.173   12.326    1.515    0.711    1.458      NaN    0.798    1.106      NaN      NaN    0.007   -0.445
    8.000    1.504    0.358    0.363    1.209    4.992   -0.032   -3.752   -0.600   -3.319   -8.000    0.000   -3.609   14.132    1.726    0.819    1.676      NaN    0.899    1.256      NaN      NaN    0.112   -0.445
    9.000    1.691    0.358    0.363    1.353    5.702   -0.040   -4.310   -0.687   -3.743   -9.000    0.000   -4.136   16.286    1.947    0.940    1.928      NaN    0.997    1.406      NaN      NaN    0.049   -0.452
