     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.171    0.328    0.328    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   74.800    4.638   26.287   67.004   71.642   78.282   39.231   19.259   35.932   38.109    0.018   -0.455
    1.000    0.537    0.328    0.329    0.411    1.321   -0.000   -0.909   -0.067   -0.390   -1.000    0.000   -0.881    3.547    0.647    0.110    0.332    0.647    0.537    0.504    0.233    0.436    0.153   -0.469
    2.000    1.076    0.328    0.330    0.823    2.609   -0.002   -1.784   -0.137   -0.785   -2.000    0.000   -1.724    7.113    1.299    0.220    0.667    1.299    1.076    1.009    0.467    0.874    0.311   -0.477
    3.000    1.624    0.328    0.332    1.241    3.997   -0.004   -2.752   -0.213   -1.187   -3.000    0.000   -2.647   11.078    1.972    0.342    1.037    1.972    1.624    1.520    0.704    1.319    0.109   -0.484
    4.000    2.167    0.328    0.333    1.654    5.396   -0.008   -3.734   -0.291   -1.587   -4.000    0.000   -3.576   15.202    2.646    0.469    1.423    2.646    2.167    2.023    0.938    1.759    0.095   -0.498
    5.000    2.711    0.328    0.334    2.067    6.789   -0.012   -4.710   -0.373   -1.996   -5.000    0.000   -4.487   19.442    3.326    0.599    1.819    3.326    2.711    2.527    1.171    2.200    0.100   -0.505
    6.000    3.272    0.328    0.336    2.485    8.000   -0.017   -5.498   -0.459   -2.414   -6.000    0.000   -5.216   23.230    4.011    0.716    2.173    4.011    3.272    3.051    1.411    2.653    0.107   -0.513
    7.000    3.781    0.328    0.337    2.872    9.464   -0.023   -6.570   -0.546   -2.817   -7.000    0.000   -6.208   27.966    4.674    0.860    2.615    4.674    3.781    3.515    1.629    3.065    0.229   -0.527
    8.000    4.364    0.328    0.338    3.302   10.595   -0.029   -7.263   -0.638   -3.243   -8.000    0.000   -6.827   31.708    5.381    0.974    2.964    5.381    4.364    4.061    1.877    3.536    0.260   -0.534
    9.000    4.886    0.328    0.340    3.695   12.181   -0.037   -8.449   -0.738   -3.653   -9.000    0.000   -7.890   37.154    6.079    1.138    3.470    6.079    4.886    4.530    2.098    3.956    0.174   -0.548
   10.000    5.429    0.328    0.341    4.097   13.317   -0.045   -9.176   -0.832   -4.080  -10.000    0.000   -8.543   41.148    6.758    1.261    3.843    6.758    5.429    5.034    2.328    4.394    0.363   -0.555
   11.000    6.087    0.328    0.343    4.576   14.616   -0.054   -9.985   -0.947   -4.525  -11.000    0.000   -9.228   45.827    7.572    1.400    4.276    7.572    6.087    5.645    2.606    4.924    0.073   -0.562
   12.000    6.609    0.328    0.344    4.962   15.995   -0.064  -10.970   -1.055   -4.959  -12.000    0.000  -10.092   50.974    8.266    1.554    4.754    8.266    6.609    6.117    2.826    5.344    0.101   -0.570
   13.000    7.203    0.328    0.345    5.395   17.288   -0.074  -11.819   -1.171   -5.395  -13.000    0.000  -10.816   55.913    9.027    1.702    5.211    9.027    7.203    6.662    3.074    5.821    0.039   -0.584
   14.000    7.696    0.328    0.346    5.760   18.737   -0.084  -12.892   -1.283   -5.813  -14.000    0.000  -11.735   61.652    9.713    1.873    5.744    9.713    7.696    7.098    3.280    6.216    0.141   -0.591
   15.000    8.283    0.328    0.348    6.187   19.999   -0.096  -13.716   -1.403   -6.263  -15.000    0.000  -12.410   66.757   10.475    2.024    6.215   10.475    8.283    7.634    3.525    6.687    0.165   -0.599
   16.000    8.818    0.328    0.349    6.575   21.440   -0.108  -14.757   -1.531   -6.678  -16.000    0.000  -13.266   72.789   11.213    2.201    6.771   11.213    8.818    8.109    3.747    7.115    0.122   -0.613
   17.000    9.356    0.328    0.350    6.969   22.683   -0.120  -15.595   -1.649   -7.121  -17.000    0.000  -13.947   78.116   11.935    2.359    7.264   11.935    9.356    8.593    3.970    7.546    0.295   -0.620
   18.000    9.992    0.328    0.352    7.427   24.195   -0.134  -16.634   -1.799   -7.578  -18.000    0.000  -14.776   84.784   12.801    2.554    7.878   12.801    9.992    9.163    4.233    8.055    0.043   -0.627
