     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.180    0.327    0.327    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   74.911    4.317   24.948   61.580   65.897   74.796   40.512   20.250   36.355   39.044    0.008   -0.441
    1.000    0.339    0.327    0.328    0.244    1.217   -0.001   -0.972   -0.070   -0.409   -1.000    0.000   -0.936    3.366    0.447    0.108    0.321    0.447    0.339    0.309    0.150    0.275    0.219   -0.450
    2.000    0.678    0.327    0.328    0.493    2.586   -0.002   -2.091   -0.145   -0.820   -2.000    0.000   -2.016    7.282    0.917    0.237    0.699    0.917    0.678    0.614    0.300    0.549    0.135   -0.463
    3.000    1.030    0.327    0.329    0.730    3.552   -0.005   -2.818   -0.224   -1.241   -3.000    0.000   -2.714   10.123    1.347    0.314    0.957    1.347    1.030    0.940    0.455    0.834    0.061   -0.470
    4.000    1.372    0.327    0.330    0.978    4.939   -0.008   -3.952   -0.307   -1.663   -4.000    0.000   -3.791   14.326    1.830    0.452    1.361    1.830    1.372    1.244    0.606    1.110    0.049   -0.483
    5.000    1.711    0.327    0.331    1.224    6.345   -0.013   -5.108   -0.394   -2.090   -5.000    0.000   -4.875   18.738    2.318    0.597    1.785    2.318    1.711    1.544    0.755    1.384    0.069   -0.492
    6.000    2.076    0.327    0.332    1.469    7.402   -0.018   -5.915   -0.486   -2.529   -6.000    0.000   -5.621   22.151    2.783    0.693    2.098    2.783    2.076    1.878    0.914    1.678    0.017   -0.500
    7.000    2.405    0.327    0.332    1.706    8.804   -0.024   -7.073   -0.579   -2.955   -7.000    0.000   -6.689   26.825    3.271    0.846    2.548    3.271    2.405    2.165    1.059    1.944    0.133   -0.513
    8.000    2.722    0.327    0.333    1.937   10.243   -0.031   -8.275   -0.675   -3.382   -8.000    0.000   -7.784   31.794    3.761    1.011    3.028    3.761    2.722    2.438    1.197    2.200    0.274   -0.527
    9.000    3.095    0.327    0.334    2.187   11.480   -0.039   -9.253   -0.785   -3.834   -9.000    0.000   -8.664   36.196    4.272    1.142    3.438    4.272    3.095    2.771    1.360    2.500    0.017   -0.535
   10.000    3.412    0.327    0.335    2.410   12.765   -0.048  -10.308   -0.884   -4.264  -10.000    0.000   -9.599   40.920    4.748    1.292    3.888    4.748    3.412    3.045    1.498    2.755    0.289   -0.548
   11.000    3.792    0.327    0.335    2.661   14.002   -0.057  -11.284   -1.005   -4.724  -11.000    0.000  -10.455   45.593    5.275    1.429    4.322    5.275    3.792    3.383    1.663    3.061    0.044   -0.556
   12.000    4.101    0.327    0.336    2.881   15.447   -0.067  -12.499   -1.118   -5.155  -12.000    0.000  -11.512   51.247    5.782    1.615    4.866    5.782    4.101    3.641    1.797    3.309    0.130   -0.569
   13.000    4.487    0.327    0.337    3.135   16.675   -0.078  -13.462   -1.246   -5.623  -13.000    0.000  -12.323   56.186    6.324    1.758    5.323    6.324    4.487    3.982    1.964    3.620    0.011   -0.579
   14.000    4.789    0.327    0.338    3.342   17.885   -0.088  -14.455   -1.357   -6.054  -14.000    0.000  -13.164   61.205    6.794    1.914    5.798    6.794    4.789    4.238    2.094    3.862    0.294   -0.590
   15.000    5.114    0.327    0.338    3.563   19.367   -0.099  -15.704   -1.496   -6.486  -15.000    0.000  -14.201   67.564    7.343    2.120    6.407    7.343    5.114    4.506    2.235    4.123    0.153   -0.603
   16.000    5.521    0.327    0.339    3.819   20.430   -0.112  -16.498   -1.635   -6.962  -16.000    0.000  -14.851   72.216    7.886    2.241    6.825    7.886    5.521    4.870    2.410    4.450    0.065   -0.610
   17.000    5.838    0.327    0.340    4.037   21.930   -0.126  -17.767   -1.778   -7.411  -17.000    0.000  -15.879   79.039    8.443    2.461    7.478    8.443    5.838    5.126    2.546    4.704    0.024   -0.623
   18.000    6.131    0.327    0.341    4.239   23.170   -0.138  -18.794   -1.903   -7.866  -18.000    0.000  -16.706   84.850    8.933    2.641    8.026    8.933    6.131    5.365    2.672    4.938    0.296   -0.633
