     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.256    0.495    0.495    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   94.248    6.694   52.405   93.306  100.000  157.074   56.165   42.182   42.289   50.739    0.012    0.505
    1.000   -0.404    0.495    0.497    0.314    2.389   -0.003   -2.072    0.811    0.811   -1.000    1.000   -2.236    7.058   -0.908   -0.506    0.000   -0.908   -0.404   -0.908   -0.184   -0.325    0.154   -0.254
    2.000   -0.795    0.495    0.498    0.621    4.787   -0.012   -4.154    1.603    1.603   -2.000    2.000   -4.422   14.615   -1.835   -1.049    0.000   -1.835   -0.795   -1.835   -0.363   -0.641    0.154   -0.277
    3.000   -1.172    0.495    0.500    0.920    7.194   -0.026   -6.248    2.377    2.377   -3.000    3.000   -6.559   22.704   -2.782   -1.629    0.000   -2.782   -1.172   -2.782   -0.535   -0.944    0.154   -0.300
    4.000   -1.571    0.495    0.501    1.193    9.469   -0.044   -8.232    3.130    3.130   -4.000    4.000   -8.528   30.839   -3.749   -2.213    0.000   -3.749   -1.571   -3.749   -0.718   -1.266    0.155   -0.321
    5.000   -1.954    0.495    0.502    1.456   11.753   -0.067  -10.230    3.862    3.862   -5.000    5.000  -10.455   39.513   -4.733   -2.835    0.000   -4.733   -1.954   -4.733   -0.894   -1.576    0.155   -0.342
    6.000   -2.776    0.495    0.503    1.466   13.226   -0.086  -11.674    4.624    4.624   -6.000    6.000  -12.201   45.422   -5.945   -3.259    0.000   -5.945   -2.776   -5.945   -1.273   -2.241    0.087   -0.379
    7.000   -4.709    0.495    0.500    0.910   12.483   -0.080  -11.494    5.529    5.529   -7.000    7.000  -13.316   42.538   -7.618   -3.052    0.000   -7.618   -4.709   -7.618   -2.172   -3.808    0.085   -0.445
    8.000   -6.604    0.495    0.497    0.399   11.660   -0.085  -11.175    6.457    6.457   -8.000    8.000  -14.310   39.363   -9.242   -2.824    0.000   -9.242   -6.604   -9.242   -3.062   -5.351    0.008   -0.508
    9.000   -8.427    0.495    0.495   -0.046   10.725   -0.098  -10.673    7.398    7.398   -9.000    9.000  -15.014   35.804  -10.780   -2.569    0.000  -10.780   -8.427  -10.780   -3.928   -6.841    0.098   -0.563
   10.000  -10.145    0.495    0.493   -0.458    9.745   -0.110  -10.092    8.348    8.348  -10.000   10.000  -15.616   32.140  -12.355   -2.460   -0.144  -12.355  -10.145  -12.355   -4.753   -8.250    0.061   -0.613
   11.000  -11.990    0.495    0.491   -0.850    8.660   -0.121   -9.390    9.333    9.333  -11.000   11.000  -16.128   28.174  -13.769   -2.021    0.000  -13.769  -11.990  -13.769   -5.648   -9.769    0.180   -0.666
   12.000  -13.666    0.495    0.489   -1.210    7.496   -0.131   -8.574   10.308   10.308  -12.000   12.000  -16.413   24.022  -15.255   -1.840   -0.109  -15.255  -13.666  -15.255   -6.470  -11.155    0.223   -0.710
   13.000  -15.404    0.495    0.488   -1.530    6.405   -0.140   -7.795   11.304   11.304  -13.000   13.000  -16.712   20.237  -16.583   -1.394    0.054  -16.583  -15.404  -16.583   -7.332  -12.598    0.369   -0.755
   14.000  -17.048    0.495    0.486   -1.872    5.240   -0.150   -6.962   12.285   12.285  -14.000   14.000  -17.022   16.307  -18.018   -1.170   -0.000  -18.018  -17.048  -18.018   -8.156  -13.967    0.023   -0.796
   15.000  -18.667    0.495    0.484   -2.189    3.711   -0.156   -5.745   13.310   13.310  -15.000   15.000  -16.803   11.312  -19.486   -1.008   -0.183  -19.486  -18.667  -19.486   -8.976  -15.322    0.414   -0.836
   16.000  -20.312    0.495    0.483   -2.493    2.595   -0.164   -4.924   14.298   14.298  -16.000   16.000  -17.075    7.796  -20.780   -0.587   -0.026  -20.780  -20.312  -20.780   -9.819  -16.703    0.011   -0.875
   17.000  -22.025    0.495    0.481   -2.802    0.690   -0.164   -3.328   15.375   15.375  -17.000   17.000  -16.419    2.020  -22.138   -0.145    0.000  -22.138  -22.025  -22.138  -10.706  -18.147    0.764   -0.917
   18.000  -23.563    0.495    0.480   -3.119   -0.882   -0.169   -2.069   16.394   16.394  -18.000   18.000  -16.187   -2.527  -23.595   -0.043   -0.209  -23.595  -23.563  -23.595  -11.512  -19.449    0.634   -0.953
   19.000  -25.266    0.495    0.478   -3.429   -2.718   -0.169   -0.542   17.453   17.453  -19.000   19.000  -15.621   -7.598  -24.859    0.545    0.000  -24.859  -25.266  -24.859  -12.416  -20.897    0.902   -0.991
   20.000  -26.841    0.495    0.477   -3.743   -4.373   -0.171    0.801   18.484   18.484  -20.000   20.000  -15.301  -11.958  -26.213    0.858    0.000  -26.213  -26.841  -26.213  -13.261  -22.242    0.708   -1.027
    8.926   -8.288    0.495    0.495   -0.007   10.797   -0.097  -10.707    7.331    7.331   -8.926    8.926  -14.940   36.075  -10.662   -2.588    0.000  -10.662   -8.288  -10.662   -3.862   -6.727    0.199   -0.559
