     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.300    0.462    0.462    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   97.523    6.499   44.223   93.501  100.000    0.000   47.297   44.223 Infinity Infinity    0.002    0.191
    1.000   -0.382    0.462    0.463    0.271    1.590   -0.004   -1.316    0.763    0.763   -1.000    1.000   -1.399    4.448    0.074   -0.309    0.000      NaN    0.384    0.074      NaN      NaN    0.040   -0.205
    2.000   -0.781    0.462    0.464    0.509    3.040   -0.014   -2.517    1.512    1.512   -2.000    2.000   -2.655    8.663    0.104   -0.633   -0.029      NaN    0.742    0.104      NaN      NaN    0.040   -0.218
    3.000   -1.162    0.462    0.465    0.764    4.638   -0.032   -3.843    2.248    2.248   -3.000    3.000   -4.017   13.496    0.163   -0.938    0.000      NaN    1.111    0.163      NaN      NaN    0.041   -0.232
    4.000   -1.532    0.462    0.466    0.986    6.096   -0.056   -5.055    2.969    2.969   -4.000    4.000   -5.239   18.076    0.129   -1.332   -0.071      NaN    1.481    0.129      NaN      NaN    0.041   -0.245
    5.000   -1.914    0.462    0.467    1.223    7.704   -0.086   -6.395    3.675    3.675   -5.000    5.000   -6.566   23.327    0.177   -1.622    0.000      NaN    1.828    0.177      NaN      NaN    0.041   -0.259
    6.000   -2.296    0.462    0.468    1.425    9.170   -0.123   -7.621    4.365    4.365   -6.000    6.000   -7.756   28.304    0.153   -1.967    0.000      NaN    2.163    0.153      NaN      NaN    0.041   -0.272
    7.000   -2.651    0.462    0.469    1.617   10.640   -0.166   -8.857    5.039    5.039   -7.000    7.000   -8.931   33.481    0.074   -2.381   -0.050      NaN    2.514    0.074      NaN      NaN    0.041   -0.285
    8.000   -2.997    0.462    0.470    1.797   12.114   -0.215  -10.102    5.695    5.695   -8.000    8.000  -10.091   38.868   -0.028   -2.809   -0.100      NaN    2.861   -0.028      NaN      NaN    0.041   -0.297
    9.000   -3.350    0.462    0.471    1.966   13.592   -0.268  -11.358    6.335    6.335   -9.000    9.000  -11.236   44.471   -0.124   -3.208   -0.109      NaN    3.186   -0.124      NaN      NaN    0.042   -0.310
   10.000   -3.710    0.462    0.471    2.147   15.224   -0.324  -12.754    6.956    6.956   -7.593   10.000  -12.479   50.897   -0.147   -3.514    0.023      NaN    3.489   -0.147      NaN      NaN    0.042   -0.324
   11.000   -4.075    0.462    0.472    2.265   16.563   -0.385  -13.912    7.558    7.558   -3.412   11.000  -13.483   56.366   -0.298   -3.918    0.000      NaN    3.768   -0.298      NaN      NaN    0.042   -0.336
   12.000   -5.084    0.462    0.471    1.993   17.017   -0.391  -14.633    8.334    8.334   -3.281   12.000  -14.565   58.351   -0.654   -4.056    0.000      NaN    3.546   -0.654      NaN      NaN    0.004   -0.372
   13.000   -6.286    0.462    0.469    1.628   17.112   -0.355  -15.129    9.177    9.177   -3.445   13.000  -15.526   58.848   -1.024   -4.078    0.012      NaN    3.183   -1.024      NaN      NaN    0.046   -0.412
   14.000   -7.444    0.462    0.468    1.297   17.179   -0.388  -15.494   10.021   10.021   -3.564   14.000  -16.374   59.229   -1.372   -4.117    0.000      NaN    2.863   -1.372      NaN      NaN    0.124   -0.448
   15.000   -8.590    0.462    0.466    0.959   17.145   -0.431  -15.755   10.877   10.877   -4.557   15.000  -17.148   59.187   -1.776   -4.233   -0.111      NaN    2.565   -1.776      NaN      NaN    0.137   -0.483
   16.000   -9.774    0.462    0.465    0.663   17.249   -0.475  -16.111   11.745   11.745   -5.655   16.000  -17.985   59.723   -2.011   -4.151    0.000      NaN    2.233   -2.011      NaN      NaN    0.167   -0.517
   17.000  -10.858    0.462    0.463    0.402   17.425   -0.523  -16.500   12.587   12.587   -5.248   17.000  -18.784   60.559   -2.282   -4.177    0.031      NaN    1.978   -2.282      NaN      NaN    0.104   -0.548
   18.000  -12.044    0.462    0.462    0.100   17.345   -0.567  -16.678   13.495   13.495   -6.493   18.000  -19.472   60.305   -2.585   -4.192    0.000      NaN    1.677   -2.585      NaN      NaN    0.183   -0.582
   19.000  -13.109    0.462    0.461   -0.168   17.381   -0.616  -16.933   14.363   14.363   -7.205   19.000  -20.161   60.539   -2.947   -4.348   -0.131      NaN    1.464   -2.947      NaN      NaN    0.110   -0.611
   20.000  -14.271    0.462    0.460   -0.411   17.459   -0.663  -17.206   15.266   15.266   -7.951   20.000  -20.858   60.950   -3.111   -4.237    0.000      NaN    1.175   -3.111      NaN      NaN    0.180   -0.642
   18.421  -12.412    0.462    0.462    0.002   17.469   -0.592  -16.875   13.819   13.819   -6.142   18.421  -19.803   60.868   -2.774   -4.336   -0.098      NaN    1.633   -2.774      NaN      NaN    0.007   -0.592
