     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.171    0.342    0.342    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   74.800    5.184   29.379   74.887   80.071   87.492   39.231   21.525   35.932   38.109    0.000    0.000
    1.000    0.471    0.342    0.343    0.442    2.049   -0.008   -1.599    0.000   -0.453   -1.000    0.458   -1.542    5.557    0.601    0.129    0.480    0.601    0.471    0.368    0.205    0.383    0.000    0.613
    2.000    0.836    0.342    0.344    0.817    3.922   -0.033   -3.072    0.000   -0.902   -2.000    0.951   -2.948   10.882    1.094    0.256    0.944    1.094    0.836    0.629    0.363    0.679    0.000    0.563
    3.000    1.071    0.342    0.345    1.114    5.879   -0.074   -4.691    0.001   -1.345   -3.000    1.492   -4.468   16.716    1.472    0.396    1.453    1.472    1.071    0.752    0.465    0.871    0.000    0.513
    4.000    1.230    0.342    0.346    1.366    7.679   -0.132   -6.181    0.000   -1.797   -4.000    2.079   -5.851   22.334    1.773    0.536    1.947    1.773    1.230    0.798    0.534    0.999    0.000    0.469
    5.000    1.227    0.342    0.347    1.515    9.542   -0.206   -7.821    0.002   -2.235   -5.000    2.703   -7.352   28.429    1.925    0.689    2.485    1.925    1.227    0.672    0.532    0.997    0.001    0.419
    6.000    1.140    0.342    0.347    1.612   11.240   -0.295   -9.332    0.001   -2.667   -6.000    3.389   -8.720   34.239    1.990    0.841    3.003    1.990    1.140    0.464    0.495    0.926    0.000    0.370
    7.000    0.863    0.342    0.347    1.589   13.184   -0.400  -11.195    0.002   -3.094   -7.000    4.160  -10.383   41.225    1.896    1.024    3.626    1.896    0.863    0.045    0.375    0.702    0.000    0.319
    8.000    0.492    0.342    0.347    1.511   14.940   -0.519  -12.910    0.006   -3.522   -8.000    4.980  -11.893   47.850    1.703    1.205    4.225    1.703    0.492   -0.466    0.214    0.400    0.002    0.269
    9.000    0.035    0.342    0.346    1.376   16.635   -0.651  -14.607    0.001   -3.961   -9.000    5.902  -13.365   54.543    1.429    1.393    4.834    1.429    0.035   -1.066    0.015    0.029    0.000    0.226
   10.000   -0.611    0.342    0.345    1.122   18.289   -0.796  -16.372    0.011   -4.372  -10.000    6.638  -14.884   61.405    0.974    1.595    5.467    0.974   -0.611   -1.861   -0.266   -0.497    0.003    0.176
   11.000   -1.325    0.342    0.344    0.823   20.038   -0.952  -18.263    0.005   -4.813  -11.000    7.307  -16.481   68.994    0.472    1.821    6.170    0.472   -1.325   -2.739   -0.579   -1.079    0.002    0.132
   12.000   -2.116    0.342    0.343    0.472   21.411   -1.119  -19.820    0.003   -5.222  -12.000    7.954  -17.781   75.245   -0.137    2.022    6.762   -0.137   -2.116   -3.671   -0.927   -1.725    0.001    0.083
   13.000   -3.119    0.342    0.342   -0.027   22.911   -1.292  -21.647    0.003   -5.646  -13.000    8.673  -19.290   82.396   -0.933    2.256    7.445   -0.933   -3.119   -4.833   -1.370   -2.545    0.001    0.040
   14.000   -4.266    0.342    0.339   -0.623   24.330   -1.470  -23.483    0.007   -6.039  -14.000    9.278  -20.790   89.494   -1.870    2.502    8.134   -1.870   -4.266   -6.140   -1.880   -3.484    0.002   -0.010
   15.000   -5.571    0.342    0.337   -1.326   25.649   -1.651  -25.324    0.024   -6.449  -15.000   10.016  -22.280   96.431   -2.967    2.758    8.822   -2.967   -5.571   -7.604   -2.465   -4.556    0.007   -0.054
   16.000   -6.476    0.342    0.336   -1.725   26.706   -1.847  -26.584    0.002   -6.927  -16.000   10.707  -23.273  102.082   -3.688    2.981    9.397   -3.688   -6.476   -8.648   -2.873   -5.300    0.001   -0.090
   17.000   -8.187    0.342    0.332   -2.746   27.997   -2.023  -28.720    0.010   -7.276  -17.000   11.409  -24.973  109.548   -5.173    3.283   10.163   -5.173   -8.187  -10.529   -3.650   -6.712    0.003   -0.140
   18.000   -9.692    0.342    0.329   -3.601   29.021   -2.207  -30.414    0.010   -7.678  -18.000   12.003  -26.292  115.713   -6.480    3.558   10.819   -6.480   -9.692  -12.183   -4.341   -7.958    0.003   -0.183
   19.000  -11.117    0.342    0.327   -4.394   29.816   -2.394  -31.817    0.003   -8.088  -19.000   12.710  -27.365  120.727   -7.732    3.808   11.377   -7.732  -11.117  -13.735   -5.001   -9.141    0.001   -0.225
   20.000  -12.707    0.342    0.323   -5.309   30.530   -2.572  -33.267    0.010   -8.529  -20.000   13.341  -28.475  125.485   -9.155    4.069   11.930   -9.155  -12.707  -15.449   -5.745  -10.466    0.003   -0.262
   12.936   -2.938    0.342    0.342    0.097   22.748   -1.282  -21.369    0.000   -5.646  -12.936    8.571  -19.058   81.573   -0.773    2.231    7.367   -0.773   -2.938   -4.636   -1.290   -2.396    0.000    0.040
