     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.171    0.328    0.328    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   74.800    4.638   26.287   67.004   71.642   78.282   39.231   19.259   35.932   38.109    0.018   -0.455
    1.000   -4.008    0.328    0.320   -2.404   -1.508   -0.000   -0.896    0.933    0.610    0.000    1.000   -0.881   -3.957   -4.120   -0.117   -0.365   -4.120   -4.008   -3.975   -1.765   -3.273    0.153   -0.469
    2.000   -7.916    0.328    0.312   -4.793   -2.916   -0.002   -1.874    1.862    1.215    0.000    2.000   -1.869   -7.600   -8.123   -0.224   -0.702   -8.123   -7.916   -7.854   -3.527   -6.488    0.123   -0.477
    3.000  -11.732    0.328    0.304   -7.175   -4.394   -0.004   -2.777    2.788    1.818    0.000    3.000   -2.793  -11.362  -12.030   -0.338   -1.052  -12.030  -11.732  -11.643   -5.288   -9.653    0.198   -0.491
    4.000  -15.443    0.328    0.296   -9.536   -5.678   -0.008   -3.850    3.707    2.411    0.000    4.000   -3.907  -14.601  -15.811   -0.436   -1.353  -15.811  -15.443  -15.332   -7.043  -12.755    0.011   -0.498
    5.000  -19.066    0.328    0.289  -11.892   -7.114   -0.012   -4.766    4.624    3.007    0.000    5.000   -4.887  -18.155  -19.507   -0.545   -1.685  -19.507  -19.066  -18.933   -8.798  -15.808    0.051   -0.512
    6.000  -22.579    0.328    0.281  -14.226   -8.607   -0.017   -5.601    5.536    3.590    0.000    6.000   -5.798  -21.778  -23.091   -0.660   -2.028  -23.091  -22.579  -22.425  -10.543  -18.793    0.047   -0.520
    7.000  -26.038    0.328    0.273  -16.575  -10.025   -0.023   -6.527    6.448    4.182    0.000    7.000   -6.827  -25.172  -26.607   -0.769   -2.349  -26.607  -26.038  -25.866  -12.305  -21.756    0.260   -0.534
    8.000  -29.407    0.328    0.266  -18.914  -11.224   -0.030   -7.660    7.350    4.773    0.000    8.000   -8.089  -28.048  -30.012   -0.858   -2.618  -30.012  -29.407  -29.224  -14.067  -24.668    0.238   -0.548
    9.000  -32.650    0.328    0.258  -21.214  -12.553   -0.038   -8.623    8.244    5.355    0.000    9.000   -9.192  -31.154  -33.295   -0.958   -2.913  -33.295  -32.650  -32.455  -15.809  -27.495    0.094   -0.562
   10.000  -35.835    0.328    0.250  -23.528  -13.850   -0.046   -9.632    9.137    5.942    0.000   10.000  -10.378  -34.153  -36.512   -1.055   -3.198  -36.512  -35.835  -35.631  -17.566  -30.297    0.074   -0.577
   11.000  -38.884    0.328    0.243  -25.789  -15.267   -0.055  -10.467   10.022    6.502    0.000   11.000  -11.389  -37.329  -39.596   -1.164   -3.505  -39.596  -38.884  -38.669  -19.295  -33.004    0.009   -0.591
   12.000  -41.929    0.328    0.235  -28.111  -16.485   -0.064  -11.562   10.905    7.111    0.000   12.000  -12.709  -40.086  -42.657   -1.254   -3.768  -42.657  -41.929  -41.709  -21.071  -35.732    0.061   -0.605
   13.000  -44.886    0.328    0.228  -30.419  -17.637   -0.073  -12.708   11.782    7.703    0.000   13.000  -14.110  -42.683  -45.622   -1.335   -4.012  -45.622  -44.886  -44.663  -22.846  -38.406    0.077   -0.620
   14.000  -47.727    0.328    0.220  -32.688  -18.939   -0.084  -13.665   12.656    8.286    0.000   14.000  -15.300  -45.507  -48.477   -1.434   -4.287  -48.477  -47.727  -47.500  -24.604  -41.002    0.196   -0.634
   15.000  -50.474    0.328    0.213  -34.937  -20.095   -0.095  -14.747   13.511    8.879    0.000   15.000  -16.664  -48.029  -51.224   -1.516   -4.528  -51.224  -50.474  -50.246  -26.354  -43.536    0.061   -0.655
   16.000  -53.153    0.328    0.206  -37.189  -21.340   -0.105  -15.744   14.367    9.487    0.000   16.000  -17.966  -50.665  -53.907   -1.608   -4.784  -53.907  -53.153  -52.925  -28.117  -46.034    0.063   -0.670
   17.000  -55.849    0.328    0.198  -39.529  -22.501   -0.114  -16.913   15.227   10.130    0.000   17.000  -19.516  -53.147  -56.594   -1.689   -5.020  -56.594  -55.849  -55.622  -29.947  -48.573    0.181   -0.691
   18.000  -58.367    0.328    0.191  -41.763  -23.606   -0.125  -18.032   16.060   10.732    0.000   18.000  -21.014  -55.481  -59.101   -1.763   -5.241  -59.101  -58.367  -58.144  -31.716  -50.972    0.015   -0.706
   19.000  -60.831    0.328    0.183  -44.011  -24.842   -0.136  -19.033   16.897   11.373    0.000   19.000  -22.409  -57.983  -61.557   -1.854   -5.488  -61.557  -60.831  -60.610  -33.505  -53.346    0.036   -0.727
   20.000  -63.116    0.328    0.176  -46.133  -26.111   -0.148  -19.874   17.722   11.965    0.000   20.000  -23.583  -60.449  -63.836   -1.951   -5.739  -63.836  -63.116  -62.898  -35.223  -55.572    0.132   -0.742
    0.000    0.000    0.328    0.328    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.018   -0.455
