     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.171    0.328    0.328    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   74.800    4.638   26.287   67.004   71.642   78.282   39.231   19.259   35.932   38.109    0.023   -0.132
    1.000   -3.483    0.328    0.321   -1.994   -0.090   -0.002   -1.902    0.862    0.215   -1.000    1.000   -1.869   -0.241   -3.479    0.004   -0.012   -3.479   -3.483   -3.484   -1.532   -2.843    0.123   -0.477
    2.000   -6.878    0.328    0.315   -3.981   -0.345   -0.008   -3.628    1.708    0.411   -2.000    2.000   -3.576   -0.927   -6.877    0.001   -0.059   -6.877   -6.878   -6.879   -3.055   -5.632    0.095   -0.498
    3.000  -10.239    0.328    0.308   -5.987   -0.312   -0.017   -5.658    2.542    0.597   -3.000    3.000   -5.597   -0.848  -10.211    0.031   -0.026  -10.211  -10.239  -10.247   -4.594   -8.411    0.298   -0.520
    4.000  -13.503    0.328    0.301   -7.982   -0.556   -0.030   -7.396    3.359    0.765   -4.000    4.000   -7.363   -1.520  -13.464    0.045   -0.056  -13.464  -13.503  -13.515   -6.120  -11.130    0.362   -0.541
    5.000  -16.642    0.328    0.295   -9.933   -0.689   -0.046   -9.199    4.149    0.913   -5.000    5.000   -9.192   -1.899  -16.577    0.078   -0.050  -16.577  -16.642  -16.661   -7.619  -13.762    0.094   -0.562
    6.000  -19.812    0.328    0.288  -11.961   -0.706   -0.064  -11.191    4.928    1.064   -6.000    6.000  -11.243   -1.966  -19.706    0.132   -0.004  -19.706  -19.812  -19.843   -9.165  -16.439    0.090   -0.584
    7.000  -22.894    0.328    0.282  -13.974   -0.706   -0.084  -13.184    5.686    1.230   -7.000    7.000  -13.266   -1.988  -22.742    0.198    0.057  -22.742  -22.894  -22.940  -10.702  -19.062    0.122   -0.613
    8.000  -25.898    0.328    0.275  -15.975   -0.842   -0.107  -15.027    6.432    1.370   -8.000    8.000  -15.167   -2.391  -25.705    0.261    0.089  -25.705  -25.898  -25.956  -12.233  -21.636    0.245   -0.634
    9.000  -28.752    0.328    0.269  -17.913   -1.017   -0.133  -16.762    7.142    1.492   -9.000    9.000  -16.974   -2.914  -28.518    0.328    0.118  -28.518  -28.752  -28.822  -13.721  -24.100    0.134   -0.656
   10.000  -31.655    0.328    0.262  -19.949   -1.014   -0.159  -18.776    7.832    1.663  -10.000   10.000  -19.050   -2.937  -31.361    0.430    0.212  -31.361  -31.655  -31.743  -15.270  -26.625    0.064   -0.684
   11.000  -34.483    0.328    0.256  -21.971   -1.217   -0.185  -20.569    8.518    1.802  -11.000   11.000  -20.929   -3.554  -34.143    0.519    0.255  -34.143  -34.483  -34.585  -16.814  -29.105    0.209   -0.706
   12.000  -37.094    0.328    0.249  -23.862   -1.323   -0.217  -22.322    9.149    1.922  -12.000   12.000  -22.739   -3.899  -36.698    0.629    0.335  -36.698  -37.094  -37.212  -18.274  -31.411    0.075   -0.728
   13.000  -39.489    0.328    0.244  -25.607   -1.504   -0.251  -23.852    9.746    2.016  -13.000   13.000  -24.283   -4.464  -39.046    0.731    0.395  -39.046  -39.489  -39.621  -19.643  -33.543    0.012   -0.749
   14.000  -42.184    0.328    0.237  -27.671   -1.988   -0.281  -25.402   10.394    2.166  -14.000   14.000  -25.964   -5.927  -41.715    0.811    0.375  -41.715  -42.184  -42.324  -21.222  -35.961    0.451   -0.771
   15.000  -44.664    0.328    0.231  -29.623   -2.008   -0.316  -27.300   10.917    2.296  -15.000   15.000  -27.948   -6.051  -44.125    0.975    0.520  -44.125  -44.664  -44.825  -22.711  -38.205    0.086   -0.792
   16.000  -46.764    0.328    0.225  -31.227   -2.504   -0.354  -28.369   11.470    2.298  -16.000   16.000  -29.060   -7.562  -46.207    1.048    0.490  -46.207  -46.764  -46.931  -24.002  -40.119    0.362   -0.807
   17.000  -48.937    0.328    0.220  -32.973   -2.739   -0.392  -29.842   11.946    2.426  -17.000   17.000  -30.653   -8.326  -48.330    1.188    0.572  -48.330  -48.937  -49.117  -25.368  -42.115    0.133   -0.828
   18.000  -51.211    0.328    0.213  -34.864   -3.075   -0.426  -31.363   12.428    2.694  -18.000   18.000  -32.312   -9.404  -50.562    1.331    0.636  -50.562  -51.211  -51.404  -26.834  -44.221    0.152   -0.856
   19.000  -52.953    0.328    0.209  -36.262   -3.668   -0.472  -32.122   12.858    2.688  -19.000   19.000  -33.247  -11.211  -52.298    1.393    0.577  -52.298  -52.953  -53.148  -27.983  -45.846    0.060   -0.871
   20.000  -55.191    0.328    0.202  -38.187   -5.423   -0.501  -32.264   13.466    2.917  -20.000   20.000  -34.175  -16.333  -54.623    1.268    0.129  -54.623  -55.191  -55.360  -29.495  -47.951    0.040   -0.892
    0.000    0.000    0.328    0.328    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.018   -0.455
