     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.300    0.462    0.462    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   97.523    6.499   44.223   93.501  100.000    0.000   47.297   44.223 Infinity Infinity    0.007   -0.592
    1.000   -0.704    0.462    0.462    0.124    0.722   -0.001   -0.598    0.883    0.883    0.000    1.000   -0.638    1.998    0.025   -0.155   -0.015      NaN    0.180    0.025      NaN      NaN    0.040   -0.197
    2.000   -1.386    0.462    0.463    0.271    1.590   -0.004   -1.316    1.763    1.763    0.000    2.000   -1.399    4.448    0.074   -0.309    0.000      NaN    0.384    0.074      NaN      NaN    0.040   -0.205
    3.000   -2.096    0.462    0.463    0.391    2.314   -0.008   -1.916    2.639    2.639    0.000    3.000   -2.029    6.534    0.101   -0.454    0.000      NaN    0.558    0.101      NaN      NaN    0.040   -0.211
    4.000   -2.773    0.462    0.464    0.533    3.185   -0.015   -2.637    3.512    3.512    0.000    4.000   -2.779    9.093    0.129   -0.632    0.000      NaN    0.766    0.129      NaN      NaN    0.040   -0.219
    5.000   -3.475    0.462    0.465    0.674    4.057   -0.023   -3.360    4.381    4.381    0.000    5.000   -3.524   11.714    0.199   -0.742    0.067      NaN    0.948    0.199      NaN      NaN    0.040   -0.227
    6.000   -4.160    0.462    0.465    0.787    4.784   -0.034   -3.964    5.246    5.246    0.000    6.000   -4.140   13.946    0.165   -0.969    0.000      NaN    1.146    0.165      NaN      NaN    0.041   -0.233
    7.000   -4.837    0.462    0.466    0.922    5.658   -0.046   -4.690    6.107    6.107    0.000    7.000   -4.874   16.683    0.177   -1.160    0.000      NaN    1.353    0.177      NaN      NaN    0.041   -0.241
    8.000   -5.548    0.462    0.466    1.030    6.388   -0.060   -5.298    6.964    6.964    0.000    8.000   -5.482   19.013    0.180   -1.322    0.000      NaN    1.522    0.180      NaN      NaN    0.041   -0.247
    9.000   -6.225    0.462    0.467    1.159    7.265   -0.077   -6.028    7.817    7.817    0.000    9.000   -6.206   21.872    0.180   -1.520    0.000      NaN    1.727    0.180      NaN      NaN    0.041   -0.255
   10.000   -6.902    0.462    0.467    1.286    8.143   -0.095   -6.762    8.665    8.665    0.000   10.000   -6.924   24.800    0.174   -1.724    0.000      NaN    1.931    0.174      NaN      NaN    0.041   -0.263
   11.000   -7.605    0.462    0.468    1.409    9.023   -0.116   -7.498    9.509    9.509    0.000   11.000   -7.637   27.797    0.211   -1.854    0.073      NaN    2.104    0.211      NaN      NaN    0.041   -0.270
   12.000   -8.288    0.462    0.468    1.504    9.757   -0.139   -8.114   10.347   10.347    0.000   12.000   -8.227   30.350    0.139   -2.110    0.000      NaN    2.297    0.139      NaN      NaN    0.041   -0.277
   13.000   -8.964    0.462    0.469    1.620   10.640   -0.164   -8.856   11.181   11.181    0.000   13.000   -8.931   33.481    0.111   -2.327    0.000      NaN    2.497    0.111      NaN      NaN    0.041   -0.285
   14.000   -9.639    0.462    0.470    1.731   11.524   -0.191   -9.602   12.010   12.010    0.000   14.000   -9.628   36.687    0.076   -2.550    0.000      NaN    2.695    0.076      NaN      NaN    0.041   -0.292
   15.000  -10.313    0.462    0.470    1.839   12.410   -0.219  -10.351   12.833   12.833    0.000   15.000  -10.321   39.971    0.033   -2.778    0.000      NaN    2.891    0.033      NaN      NaN    0.041   -0.300
   16.000  -10.988    0.462    0.470    1.917   13.148   -0.251  -10.980   13.651   13.651    0.000   16.000  -10.894   42.767   -0.083   -3.072   -0.093      NaN    3.084   -0.083      NaN      NaN    0.042   -0.306
   17.000  -11.672    0.462    0.471    2.040   14.185   -0.283  -11.863   14.463   14.463    0.000   17.000  -11.690   46.776   -0.054   -3.213    0.036      NaN    3.263   -0.054      NaN      NaN    0.042   -0.315
   18.000  -12.351    0.462    0.471    2.108   14.927   -0.318  -12.500   15.268   15.268    1.782   18.000  -12.254   49.708   -0.175   -3.497   -0.039      NaN    3.443   -0.175      NaN      NaN    0.042   -0.322
   19.000  -13.025    0.462    0.472    2.196   15.818   -0.355  -13.268   16.068   16.068    4.460   19.000  -12.927   53.304   -0.247   -3.737   -0.030      NaN    3.626   -0.247      NaN      NaN    0.042   -0.330
   20.000  -13.693    0.462    0.472    2.302   16.861   -0.390  -14.169   16.862   16.862    7.454   20.000  -13.705   57.608   -0.271   -3.932    0.067      NaN    3.811   -0.271      NaN      NaN    0.042   -0.339
   21.000  -14.796    0.462    0.471    2.082   16.969   -0.391  -14.497   17.775   17.775    7.980   21.000  -14.320   58.124   -0.545   -4.022    0.017      NaN    3.622   -0.545      NaN      NaN    0.076   -0.363
   22.000  -15.928    0.462    0.470    1.857   17.024   -0.379  -14.788   18.701   18.701    8.225   22.000  -14.895   58.416   -0.789   -4.061    0.000      NaN    3.410   -0.789      NaN      NaN    0.182   -0.387
   23.000  -17.020    0.462    0.469    1.647   17.131   -0.363  -15.121   19.601   19.601    8.456   23.000  -15.481   58.923   -1.017   -4.096    0.000      NaN    3.211   -1.017      NaN      NaN    0.022   -0.409
   24.000  -18.183    0.462    0.468    1.419   17.148   -0.372  -15.357   20.552   20.552    9.032   24.000  -16.053   59.059   -1.246   -4.105    0.000      NaN    2.982   -1.246      NaN      NaN    0.177   -0.435
   25.000  -19.296    0.462    0.467    1.204   17.229   -0.401  -15.624   21.475   21.475    8.875   25.000  -16.650   59.471   -1.473   -4.134    0.000      NaN    2.775   -1.473      NaN      NaN    0.048   -0.458
   26.000  -20.422    0.462    0.466    1.011   17.336   -0.429  -15.896   22.411   22.411    9.476   26.000  -17.228   59.988   -1.638   -4.097    0.068      NaN    2.564   -1.638      NaN      NaN    0.084   -0.481
   27.000  -21.500    0.462    0.465    0.809   17.360   -0.461  -16.090   23.334   23.334    9.243   27.000  -17.719   60.153   -1.889   -4.181    0.000      NaN    2.393   -1.889      NaN      NaN    0.032   -0.502
   28.000  -22.632    0.462    0.464    0.588   17.283   -0.489  -16.206   24.294   24.294    9.872   28.000  -18.187   59.889   -2.150   -4.252   -0.083      NaN    2.195   -2.150      NaN      NaN    0.115   -0.525
   29.000  -23.748    0.462    0.463    0.409   17.426   -0.520  -16.497   25.240   25.240    9.554   29.000  -18.784   60.559   -2.297   -4.210    0.000      NaN    1.997   -2.297      NaN      NaN    0.104   -0.548
   30.000  -24.884    0.462    0.462    0.204   17.363   -0.551  -16.608   26.199   26.199    9.689   30.000  -19.227   60.351   -2.487   -4.195    0.000      NaN    1.783   -2.487      NaN      NaN    0.169   -0.570
   31.000  -25.968    0.462    0.462    0.015   17.469   -0.586  -16.869   27.137   27.137    9.809   31.000  -19.803   60.868   -2.694   -4.231    0.000      NaN    1.605   -2.694      NaN      NaN    0.007   -0.592
   32.000  -27.062    0.462    0.461   -0.176   17.454   -0.620  -17.010   28.088   28.088    9.917   32.000  -20.249   60.857   -2.906   -4.272   -0.039      NaN    1.427   -2.906      NaN      NaN    0.011   -0.613
  100.000  -92.377    0.462    0.036  -92.199  -38.949    0.000  -53.250    0.000    0.000      NaN    0.000  -72.180  -93.926  -91.879    6.529    0.000      NaN  -92.377  -91.879      NaN      NaN   50.000   -1.304
