     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.171    0.357    0.357    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   74.800    5.820   32.982   84.070   89.890   98.221   39.231   24.165   35.932   38.109    0.006    0.111
    1.000    0.471    0.357    0.358    0.423    2.029   -0.008   -1.598    0.000   -0.453   -1.000    0.458   -1.542    5.502    0.549    0.077    0.429    0.549    0.471    0.316    0.205    0.383    0.000    0.613
    2.000    0.836    0.357    0.360    0.778    3.882   -0.033   -3.072    0.000   -0.902   -2.000    0.951   -2.948   10.769    0.991    0.154    0.841    0.991    0.836    0.527    0.363    0.679    0.000    0.563
    3.000    1.071    0.357    0.361    1.053    5.817   -0.074   -4.689    0.001   -1.345   -3.000    1.492   -4.468   16.531    1.312    0.238    1.292    1.312    1.071    0.593    0.465    0.871    0.000    0.513
    4.000    1.230    0.357    0.361    1.284    7.594   -0.132   -6.178    0.000   -1.797   -4.000    2.079   -5.851   22.072    1.555    0.321    1.730    1.555    1.230    0.582    0.534    0.999    0.000    0.469
    5.000    1.227    0.357    0.362    1.410    9.432   -0.206   -7.816    0.002   -2.235   -5.000    2.703   -7.352   28.076    1.645    0.413    2.204    1.645    1.227    0.396    0.532    0.997    0.001    0.419
    6.000    1.140    0.357    0.362    1.484   11.105   -0.295   -9.326    0.001   -2.667   -6.000    3.389   -8.720   33.790    1.649    0.504    2.659    1.649    1.140    0.128    0.495    0.926    0.000    0.370
    7.000    0.863    0.357    0.362    1.433   13.018   -0.399  -11.186    0.002   -3.094   -7.000    4.160  -10.383   40.651    1.481    0.613    3.205    1.481    0.863   -0.362    0.375    0.702    0.001    0.319
    8.000    0.492    0.357    0.362    1.328   14.744   -0.518  -12.898    0.006   -3.522   -8.000    4.980  -11.893   47.144    1.217    0.721    3.727    1.217    0.492   -0.941    0.214    0.400    0.002    0.269
    9.000    0.035    0.357    0.361    1.164   16.405   -0.651  -14.591    0.001   -3.961   -9.000    5.902  -13.365   53.690    0.869    0.834    4.256    0.869    0.035   -1.612    0.015    0.029    0.000    0.226
   10.000   -0.611    0.357    0.360    0.880   18.025   -0.795  -16.350    0.011   -4.372  -10.000    6.638  -14.884   60.387    0.337    0.954    4.802    0.337   -0.611   -2.480   -0.266   -0.497    0.004    0.176
   11.000   -1.325    0.357    0.359    0.549   19.735   -0.951  -18.236    0.005   -4.813  -11.000    7.307  -16.481   67.779   -0.251    1.088    5.406   -0.251   -1.325   -3.438   -0.579   -1.079    0.002    0.132
   12.000   -2.116    0.357    0.357    0.168   21.072   -1.117  -19.787    0.003   -5.222  -12.000    7.954  -17.781   73.847   -0.934    1.208    5.911   -0.934   -2.116   -4.440   -0.927   -1.725    0.001    0.083
   13.000   -3.119    0.357    0.356   -0.364   22.531   -1.289  -21.606    0.003   -5.646  -13.000    8.673  -19.290   80.775   -1.814    1.348    6.490   -1.814   -3.119   -5.679   -1.370   -2.545    0.001    0.040
   14.000   -4.266    0.357    0.353   -0.994   23.907   -1.467  -23.434    0.007   -6.039  -14.000    9.278  -20.790   87.630   -2.836    1.494    7.070   -2.836   -4.266   -7.063   -1.880   -3.484    0.002   -0.010
   15.000   -5.571    0.357    0.351   -1.731   25.181   -1.647  -25.265    0.024   -6.449  -15.000   10.016  -22.280   94.305   -4.017    1.646    7.645   -4.017   -5.571   -8.605   -2.465   -4.556    0.008   -0.054
   16.000   -6.476    0.357    0.349   -2.160   26.199   -1.842  -26.517    0.002   -6.927  -16.000   10.707  -23.273   99.722   -4.813    1.778    8.119   -4.813   -6.476   -9.715   -2.873   -5.300    0.001   -0.090
   17.000   -8.187    0.357    0.345   -3.220   27.437   -2.018  -28.640    0.010   -7.276  -17.000   11.409  -24.973  106.858   -6.391    1.957    8.748   -6.391   -8.187  -11.678   -3.650   -6.712    0.003   -0.140
   18.000   -9.692    0.357    0.342   -4.109   28.414   -2.200  -30.323    0.010   -7.678  -18.000   12.003  -26.292  112.717   -7.778    2.120    9.280   -7.778   -9.692  -13.402   -4.341   -7.958    0.003   -0.183
   19.000  -11.117    0.357    0.339   -4.933   29.167   -2.386  -31.714    0.003   -8.088  -19.000   12.710  -27.365  117.452   -9.101    2.268    9.725   -9.101  -11.117  -15.015   -5.001   -9.141    0.001   -0.225
   20.000  -12.707    0.357    0.336   -5.878   29.836   -2.563  -33.151    0.010   -8.529  -20.000   13.341  -28.475  121.915  -10.593    2.422   10.158  -10.593  -12.707  -16.787   -5.745  -10.466    0.003   -0.262
   12.278   -2.336    0.357    0.357    0.071   21.403   -1.164  -20.167    0.009   -5.362  -12.278    8.176  -18.093   75.382   -1.125    1.240    6.040   -1.125   -2.336   -4.715   -1.024   -1.905    0.003    0.075
