     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.171    0.298    0.298    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   74.800    3.611   20.467   52.169   55.780   60.950   39.231   14.995   35.932   38.109    0.000    0.040
    1.000    0.471    0.298    0.299    0.503    2.111   -0.008   -1.599    0.000   -0.453   -1.000    0.458   -1.542    5.727    0.763    0.290    0.642    0.763    0.471    0.529    0.205    0.383    0.000    0.613
    2.000    0.836    0.298    0.301    0.939    4.046   -0.033   -3.074    0.000   -0.902   -2.000    0.951   -2.948   11.238    1.418    0.577    1.267    1.418    0.836    0.952    0.363    0.679    0.000    0.563
    3.000    1.071    0.298    0.302    1.303    6.073   -0.074   -4.695    0.001   -1.345   -3.000    1.492   -4.468   17.294    1.975    0.894    1.956    1.975    1.071    1.251    0.465    0.871    0.000    0.513
    4.000    1.230    0.298    0.303    1.623    7.943   -0.132   -6.189    0.000   -1.797   -4.000    2.079   -5.851   23.154    2.455    1.211    2.631    2.455    1.230    1.474    0.534    0.999    0.000    0.469
    5.000    1.227    0.298    0.303    1.845    9.885   -0.206   -7.834    0.002   -2.235   -5.000    2.703   -7.352   29.536    2.804    1.558    3.369    2.804    1.227    1.541    0.532    0.997    0.000    0.419
    6.000    1.140    0.298    0.304    2.015   11.663   -0.296   -9.352    0.001   -2.667   -6.000    3.389   -8.720   35.652    3.063    1.902    4.087    3.063    1.140    1.521    0.495    0.926    0.000    0.370
    7.000    0.863    0.298    0.304    2.080   13.704   -0.401  -11.223    0.002   -3.094   -7.000    4.160  -10.383   43.035    3.201    2.318    4.954    3.201    0.863    1.327    0.375    0.702    0.000    0.319
    8.000    0.492    0.298    0.304    2.087   15.557   -0.520  -12.950    0.006   -3.522   -8.000    4.980  -11.893   50.080    3.237    2.731    5.796    3.237    0.492    1.035    0.214    0.400    0.001    0.269
    9.000    0.035    0.298    0.304    2.041   17.354   -0.654  -14.659    0.001   -3.961   -9.000    5.902  -13.365   57.239    3.198    3.162    6.663    3.198    0.035    0.660    0.015    0.029    0.000    0.226
   10.000   -0.611    0.298    0.304    1.881   19.118   -0.799  -16.438    0.011   -4.372  -10.000    6.638  -14.884   64.629    2.991    3.624    7.573    2.991   -0.611    0.099   -0.266   -0.497    0.002    0.176
   11.000   -1.325    0.298    0.303    1.687   20.992   -0.956  -18.349    0.005   -4.813  -11.000    7.307  -16.481   72.849    2.763    4.143    8.591    2.763   -1.325   -0.520   -0.579   -1.079    0.001    0.132
   12.000   -2.116    0.298    0.302    1.427   22.476   -1.125  -19.924    0.003   -5.222  -12.000    7.954  -17.781   79.685    2.393    4.607    9.467    2.393   -2.116   -1.231   -0.927   -1.725    0.001    0.083
   13.000   -3.119    0.298    0.301    1.033   24.106   -1.299  -21.774    0.003   -5.646  -13.000    8.673  -19.290   87.555    1.869    5.149   10.484    1.869   -3.119   -2.142   -1.370   -2.545    0.001    0.040
   14.000   -4.266    0.298    0.300    0.544   25.661   -1.479  -23.637    0.007   -6.039  -14.000    9.278  -20.790   95.438    1.208    5.718   11.526    1.208   -4.266   -3.195   -1.880   -3.484    0.002   -0.010
   15.000   -5.571    0.298    0.298   -0.049   27.122   -1.663  -25.508    0.024   -6.449  -15.000   10.016  -22.280  103.226    0.389    6.313   12.587    0.389   -5.571   -4.408   -2.465   -4.556    0.005   -0.054
   16.000   -6.476    0.298    0.297   -0.351   28.304   -1.861  -26.794    0.002   -6.927  -16.000   10.707  -23.273  109.639   -0.087    6.832   13.488   -0.087   -6.476   -5.232   -2.873   -5.300    0.000   -0.090
   17.000   -8.187    0.298    0.294   -1.250   29.762   -2.041  -28.971    0.010   -7.276  -17.000   11.409  -24.973  118.181   -1.266    7.538   14.701   -1.266   -8.187   -6.843   -3.650   -6.712    0.002   -0.140
   18.000   -9.692    0.298    0.292   -1.995   30.937   -2.228  -30.704    0.010   -7.678  -18.000   12.003  -26.292  125.348   -2.302    8.183   15.769   -2.302   -9.692   -8.261   -4.341   -7.958    0.002   -0.183
   19.000  -11.117    0.298    0.290   -2.690   31.870   -2.418  -32.142    0.003   -8.088  -19.000   12.710  -27.365  131.283   -3.320    8.772   16.704   -3.320  -11.117   -9.610   -5.001   -9.141    0.001   -0.225
   20.000  -12.707    0.298    0.288   -3.507   32.726   -2.601  -33.632    0.010   -8.529  -20.000   13.341  -28.475  137.012   -4.511    9.390   17.652   -4.511  -12.707  -11.126   -5.745  -10.466    0.002   -0.262
   15.000   -5.571    0.298    0.298   -0.049   27.122   -1.663  -25.508    0.024   -6.449  -15.000   10.016  -22.280  103.226    0.389    6.313   12.587    0.389   -5.571   -4.408   -2.465   -4.556    0.005   -0.054
