     atau     wage     TFP0     TFP1     DTFP       DM     DPhi       DF     Etau    Etau0    Etaul    Etauh     Expz        M       aY       aN       aL       aK       YN       aC     mTFP     nTFP    check     zphi
    0.000    0.137    0.274    0.274    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   66.741    4.415   21.156   67.403   71.818   63.003   31.387   15.381   32.607   31.785    0.004   -0.254
    1.000    0.559    0.274    0.275    0.553    2.314   -0.008   -1.753    0.001   -0.489   -1.000    0.562   -1.701    6.293    0.792    0.232    0.604    0.792    0.559    0.489    0.243    0.454    0.000    0.330
    2.000    1.010    0.274    0.277    1.029    4.155   -0.033   -3.093    0.003   -0.976   -2.000    1.175   -2.975   11.551    1.446    0.432    1.115    1.446    1.010    0.880    0.439    0.821    0.001    0.287
    3.000    1.348    0.274    0.278    1.443    6.262   -0.074   -4.745    0.000   -1.456   -3.000    1.827   -4.532   17.867    2.030    0.674    1.731    2.030    1.348    1.144    0.585    1.095    0.000    0.243
    4.000    1.540    0.274    0.279    1.768    8.307   -0.132   -6.407    0.002   -1.934   -4.000    2.564   -6.068   24.314    2.479    0.925    2.363    2.479    1.540    1.260    0.667    1.251    0.000    0.198
    5.000    1.628    0.274    0.279    2.031   10.160   -0.206   -7.922    0.006   -2.405   -5.000    3.381   -7.449   30.436    2.819    1.172    2.971    2.819    1.628    1.274    0.706    1.322    0.001    0.154
    6.000    1.580    0.274    0.280    2.212   12.124   -0.295   -9.617    0.007   -2.878   -6.000    4.251   -8.974   37.249    3.054    1.452    3.652    3.054    1.580    1.141    0.685    1.283    0.002    0.111
    7.000    1.397    0.274    0.280    2.307   13.986   -0.399  -11.280    0.010   -3.337   -7.000    5.132  -10.447   44.032    3.159    1.738    4.338    3.159    1.397    0.874    0.606    1.135    0.002    0.067
    8.000    1.111    0.274    0.280    2.336   15.826   -0.518  -12.972    0.004   -3.807   -8.000    5.831  -11.927   51.057    3.175    2.041    5.054    3.175    1.111    0.500    0.482    0.903    0.001    0.025
    9.000    0.745    0.274    0.280    2.318   17.325   -0.650  -14.357    0.009   -4.276   -9.000    6.580  -13.112   57.035    3.077    2.314    5.678    3.077    0.745    0.056    0.324    0.606    0.002   -0.015
   10.000    0.251    0.274    0.280    2.226   18.842   -0.795  -15.821    0.017   -4.741  -10.000    7.296  -14.364   63.335    2.870    2.613    6.345    2.870    0.251   -0.522    0.109    0.204    0.004   -0.055
   11.000   -0.454    0.274    0.279    1.979   20.521   -0.950  -17.593    0.009   -5.191  -11.000    8.008  -15.859   70.647    2.494    2.961    7.122    2.494   -0.454   -1.321   -0.198   -0.369    0.002   -0.097
   12.000   -1.328    0.274    0.278    1.615   22.113   -1.114  -19.384    0.003   -5.613  -12.000    8.698  -17.352   77.931    1.953    3.325    7.911    1.953   -1.328   -2.292   -0.580   -1.082    0.001   -0.141
   13.000   -2.318    0.274    0.277    1.191   23.634   -1.285  -21.158    0.011   -6.056  -13.000    9.443  -18.813   85.215    1.304    3.708    8.719    1.304   -2.318   -3.380   -1.016   -1.890    0.002   -0.181
   14.000   -3.322    0.274    0.276    0.742   24.881   -1.464  -22.675    0.004   -6.503  -14.000   10.077  -20.039   91.460    0.602    4.059    9.432    0.602   -3.322   -4.469   -1.460   -2.711    0.001   -0.220
   15.000   -4.070    0.274    0.275    0.502   25.738   -1.656  -23.581    0.001   -7.018  -15.000   10.818  -20.732   95.835    0.087    4.333    9.958    0.087   -4.070   -5.283   -1.793   -3.324    0.000   -0.251
   16.000   -5.238    0.274    0.274   -0.045   26.682   -1.847  -24.880    0.014   -7.459  -16.000   11.604  -21.776  100.935   -0.814    4.669   10.586   -0.814   -5.238   -6.527   -2.315   -4.282    0.003   -0.288
   17.000   -6.486    0.274    0.272   -0.644   27.597   -2.037  -26.205    0.024   -7.936  -17.000   12.144  -22.830  106.052   -1.790    5.022   11.232   -1.790   -6.486   -7.851   -2.877   -5.309    0.005   -0.324
   18.000   -8.049    0.274    0.270   -1.493   28.509   -2.225  -27.776    0.033   -8.340  -18.000   12.858  -24.096  111.450   -3.066    5.419   11.937   -3.066   -8.049   -9.493   -3.587   -6.598    0.007   -0.362
   19.000   -9.780    0.274    0.267   -2.501   29.375   -2.405  -29.470    0.016   -8.740  -19.000   13.491  -25.442  116.863   -4.511    5.840   12.665   -4.511   -9.780  -11.304   -4.382   -8.031    0.003   -0.401
   20.000  -11.283    0.274    0.265   -3.314   29.999   -2.590  -30.723    0.010   -9.192  -20.000   14.228  -26.414  120.916   -5.777    6.207   13.258   -5.777  -11.283  -12.872   -5.079   -9.279    0.002   -0.434
   15.786   -5.049    0.274    0.274    0.030   26.536   -1.804  -24.702    0.016   -7.351  -15.786   11.396  -21.637  100.142   -0.670    4.612   10.484   -0.670   -5.049   -6.324   -2.230   -4.126    0.003   -0.282
